timu_ground timu_onboard ax_meas ay_meas az_meas wx_meas wy_meas wz_meas
0.028512 0.943838 0.789575 -0.086135 8.237898 0.021839 -0.013849 0.006924
0.028694 0.948847 0.842213 -0.059816 8.242683 0.023437 -0.014914 0.004261
0.028873 0.954028 0.837428 -0.071780 8.204401 0.020241 -0.013316 0.002663
0.029045 0.959007 0.760863 -0.129203 8.264217 0.022371 -0.012784 0.007457
0.029220 0.964028 0.813501 -0.043068 8.278573 0.021306 -0.013316 0.007990
0.029399 0.969282 0.890066 -0.009571 8.209186 0.021839 -0.014382 0.004794
0.029574 0.974195 0.827857 -0.133988 8.273788 0.022371 -0.011186 0.007457
0.029745 0.979508 0.724973 -0.112455 8.355138 0.020773 -0.009588 0.007457
0.029939 0.984494 0.808716 -0.055031 8.204401 0.019708 -0.010653 0.003729
0.030134 0.989690 0.873318 -0.050246 8.230720 0.021839 -0.012251 0.007990
0.030327 0.994684 0.823072 -0.078957 8.276180 0.022904 -0.012784 0.004794
0.030520 0.999865 0.741722 -0.148344 8.307285 0.023969 -0.011718 0.005326
0.031007 1.005047 0.849391 -0.133988 8.304892 0.021839 -0.013316 0.006392
0.031199 1.010027 0.868532 -0.035890 8.309677 0.022904 -0.014382 0.007990
0.031389 1.016536 0.842213 -0.071780 8.264217 0.020241 -0.013316 0.006924
0.031586 1.020565 0.756078 -0.124418 8.300107 0.021839 -0.012784 0.006392
0.031775 1.025501 0.844606 -0.107669 8.259432 0.023969 -0.010120 0.003196
0.031963 1.030520 0.854176 -0.102884 8.290536 0.020241 -0.012251 0.003729
0.032169 1.035629 0.827857 -0.107669 8.326426 0.021306 -0.012251 0.007457
0.032365 1.040569 0.729759 -0.150737 8.199615 0.022371 -0.011186 0.006392
0.032597 1.045584 0.763256 -0.069387 8.316855 0.025567 -0.011186 0.005326
0.032828 1.050736 0.835035 -0.076565 8.204401 0.021306 -0.011718 0.004794
0.033037 1.055742 0.780004 -0.112455 8.242683 0.019708 -0.012784 0.008522
0.033252 1.061021 0.739329 -0.071780 8.307285 0.021306 -0.012784 0.005859
0.033445 1.065912 0.796753 -0.028712 8.271395 0.020241 -0.015979 0.005859
0.033648 1.071274 0.835035 -0.114847 8.285751 0.019175 -0.011718 0.009055
0.033855 1.076221 0.796753 -0.181841 8.304892 0.022371 -0.014914 0.005859
0.034054 1.081446 0.713010 -0.090921 8.312070 0.020241 -0.013316 0.005326
0.034261 1.086465 0.882888 -0.007178 8.302499 0.022904 -0.015447 0.008522
0.034518 1.091605 0.890066 -0.019141 8.300107 0.020773 -0.012251 0.004794
0.034723 1.096666 0.744115 -0.105277 8.302499 0.019708 -0.013316 0.002131
0.034931 1.101778 0.744115 -0.131596 8.300107 0.020773 -0.013316 0.004261
0.035157 1.106863 0.818287 -0.043068 8.328819 0.020773 -0.012784 0.003729
0.035383 1.112236 0.904422 -0.129203 8.333604 0.021839 -0.009588 0.008522
0.035587 1.118382 0.825465 -0.057424 8.343175 0.022904 -0.014914 0.007457
0.035781 1.122184 0.799145 -0.086135 8.187652 0.019708 -0.011186 0.002663
0.035973 1.127191 0.818287 -0.086135 8.225935 0.021306 -0.010653 0.006392
0.036166 1.132378 0.813501 -0.095706 8.340782 0.020241 -0.014382 0.009055
0.036372 1.137389 0.739329 -0.062209 8.285751 0.020241 -0.013849 0.007990
0.036575 1.142540 0.739329 -0.119633 8.280966 0.021839 -0.016512 0.003729
0.036915 1.147544 0.808716 -0.078957 8.285751 0.022371 -0.010120 0.005326
0.037133 1.152828 0.925956 -0.071780 8.249861 0.020773 -0.012251 0.006924
0.037341 1.157724 0.796753 -0.143559 8.304892 0.020241 -0.014382 0.002663
0.037557 1.163064 0.791968 -0.129203 8.261824 0.023437 -0.014382 0.006924
0.037766 1.168006 0.906815 -0.105277 8.331211 0.021306 -0.010653 0.004794
0.037965 1.173255 0.803931 -0.078957 8.288144 0.022904 -0.010653 0.004261
0.038169 1.178072 0.739329 -0.114847 8.300107 0.022371 -0.013316 0.007457
0.038375 1.183328 0.811109 -0.081350 8.328819 0.019708 -0.013849 0.006392
0.038581 1.188418 0.861354 -0.090921 8.278573 0.020773 -0.010120 0.005859
0.038784 1.193479 0.887674 -0.059816 8.343175 0.019175 -0.010120 0.008522
0.038989 1.198511 0.803931 -0.102884 8.321641 0.022371 -0.012784 0.003196
0.039185 1.203672 0.748900 -0.088528 8.233113 0.020241 -0.013849 0.007990
0.039379 1.208684 0.861354 -0.043068 8.233113 0.022371 -0.012784 0.009588
0.039577 1.213883 0.870925 -0.090921 8.292929 0.021306 -0.012251 0.006924
0.039774 1.219833 0.791968 -0.081350 8.376672 0.019708 -0.012784 0.009055
0.039967 1.224299 0.770434 -0.086135 8.367101 0.021839 -0.013316 0.005859
0.040277 1.229450 0.801538 -0.055031 8.242683 0.018643 -0.011718 0.005326
0.040471 1.234383 0.827857 -0.014356 8.307285 0.021306 -0.013316 0.006924
0.040665 1.239400 0.768041 -0.119633 8.312070 0.022371 -0.011718 0.008522
0.040859 1.244405 0.739329 -0.088528 8.280966 0.020773 -0.011718 0.007457
0.041342 1.249420 0.849391 -0.086135 8.252254 0.021306 -0.014914 0.006392
0.041503 1.254934 0.858962 -0.038282 8.242683 0.020773 -0.012251 0.008522
0.041657 1.259574 0.748900 -0.138774 8.290536 0.020773 -0.012251 0.006392
0.041821 1.264755 0.768041 -0.124418 8.271395 0.020773 -0.011718 0.005326
0.041988 1.269747 0.885281 -0.014356 8.240291 0.022904 -0.013316 0.009588
0.042138 1.274922 0.789575 -0.138774 8.324033 0.018110 -0.014382 0.010120
0.042287 1.280224 0.772826 -0.110062 8.345567 0.021839 -0.010653 0.007457
0.042477 1.285258 0.789575 -0.076565 8.266610 0.022371 -0.012784 0.007990
0.042663 1.290194 0.825465 -0.057424 8.259432 0.021306 -0.012251 0.006924
0.042850 1.295392 0.854176 -0.052638 8.269002 0.022904 -0.011186 0.004794
0.043013 1.300352 0.708225 -0.093313 8.252254 0.021839 -0.008522 0.007990
0.043192 1.305651 0.717795 -0.086135 8.316855 0.020773 -0.011186 0.008522
0.043343 1.310581 0.854176 -0.069387 8.302499 0.021306 -0.013316 0.002131
0.043512 1.315618 0.846999 -0.098099 8.326426 0.021306 -0.011186 0.008522
0.043687 1.324952 0.887674 -0.088528 8.245076 0.021839 -0.011718 0.006924
0.043864 1.327576 0.734544 -0.090921 8.216364 0.021306 -0.010120 0.008522
0.044033 1.332644 0.768041 -0.100491 8.269002 0.021839 -0.012251 0.005859
0.044216 1.338500 0.777612 -0.071780 8.357530 0.019708 -0.013849 0.007457
0.044402 1.343921 0.763256 -0.102884 8.237898 0.020241 -0.007990 0.006924
0.044555 1.348608 0.768041 -0.040675 8.283358 0.021306 -0.012784 0.003729
0.044742 1.353543 0.787182 -0.059816 8.283358 0.019708 -0.010120 0.007457
0.044932 1.358561 0.856569 -0.078957 8.264217 0.022904 -0.009055 0.007457
0.045124 1.363549 0.835035 -0.110062 8.288144 0.020773 -0.011718 0.001065
0.045289 1.368708 0.741722 -0.081350 8.280966 0.021839 -0.011186 0.006924
0.045477 1.373823 0.794360 -0.064602 8.273788 0.021839 -0.011718 0.008522
0.045669 1.378885 0.911600 -0.047853 8.247468 0.021839 -0.009588 0.007457
0.045863 1.383995 0.772826 -0.102884 8.347960 0.022904 -0.014914 0.007457
0.046054 1.389153 0.803931 -0.074172 8.269002 0.020773 -0.010653 0.005859
0.046245 1.394068 0.839821 -0.062209 8.283358 0.021839 -0.010653 0.006924
0.046451 1.399403 0.832643 -0.035890 8.218757 0.021306 -0.012784 0.006392
0.049388 1.404339 0.861354 -0.088528 8.314463 0.020773 -0.011186 0.004794
0.052134 1.409398 0.732151 -0.086135 8.295322 0.023969 -0.011186 0.006924
0.057282 1.414659 0.736937 -0.057424 8.209186 0.024502 -0.014382 0.004261
0.063422 1.419573 0.902029 -0.083743 8.297714 0.020241 -0.011186 0.007457
0.069579 1.424750 0.818287 -0.122025 8.316855 0.020773 -0.011186 0.003729
0.072414 1.429731 0.710617 -0.078957 8.276180 0.021306 -0.012784 0.007457
0.077484 1.434749 0.820679 -0.102884 8.249861 0.022904 -0.010653 0.003729
0.082714 1.439979 0.846999 -0.023927 8.166118 0.021839 -0.011718 0.005859
0.089412 1.445382 0.780004 -0.031104 8.225935 0.022371 -0.011718 0.005859
0.093030 1.450381 0.724973 -0.078957 8.225935 0.023969 -0.012251 0.007990
0.098382 1.455368 0.736937 -0.035890 8.233113 0.021839 -0.013849 0.004261
0.105149 1.460392 0.899637 -0.026319 8.278573 0.022904 -0.012251 0.006924
0.108379 1.465379 0.815894 -0.131596 8.285751 0.020241 -0.013316 0.005859
0.113359 1.470528 0.780004 -0.093313 8.228327 0.021839 -0.012251 0.005326
0.119052 1.475578 0.815894 -0.088528 8.273788 0.021839 -0.011186 0.005326
0.123386 1.480681 0.878103 -0.023927 8.273788 0.022904 -0.012251 0.007990
0.130599 1.485699 0.794360 -0.131596 8.288144 0.018110 -0.012251 0.004794
0.133985 1.491150 0.777612 -0.126811 8.331211 0.023969 -0.014382 0.005859
0.140494 1.495942 0.842213 -0.093313 8.324033 0.021839 -0.011186 0.005859
0.145371 1.501119 0.878103 -0.038282 8.304892 0.021306 -0.012784 0.007990
0.156877 1.506112 0.777612 -0.045460 8.302499 0.020241 -0.011718 0.006392
0.157618 1.511277 0.789575 -0.069387 8.288144 0.021839 -0.013316 0.006392
0.160145 1.516421 0.765648 -0.076565 8.343175 0.021839 -0.013316 0.007457
0.164223 1.521477 0.930741 -0.088528 8.290536 0.019708 -0.009055 0.007457
0.170682 1.526472 0.794360 -0.129203 8.173296 0.021306 -0.012784 0.006392
0.174620 1.531726 0.727366 -0.122025 8.273788 0.021839 -0.013849 0.006924
0.181742 1.536646 0.815894 -0.095706 8.249861 0.019708 -0.013316 0.006924
0.189096 1.542985 0.882888 -0.062209 8.273788 0.019708 -0.013849 0.010120
0.191800 1.546940 0.827857 -0.083743 8.304892 0.018643 -0.011186 0.006392
0.195884 1.552084 0.736937 -0.122025 8.290536 0.021306 -0.013316 0.004261
0.200537 1.557167 0.772826 -0.114847 8.264217 0.020773 -0.009588 0.007990
0.206123 1.562248 0.897244 -0.052638 8.173296 0.021839 -0.014382 0.003196
0.211845 1.567344 0.799145 -0.098099 8.297714 0.021306 -0.011186 0.005859
0.215112 1.572415 0.739329 -0.189019 8.292929 0.020773 -0.012251 0.006924
0.220160 1.577437 0.780004 -0.031104 8.350352 0.021839 -0.011186 0.009055
0.225308 1.582583 0.928349 -0.119633 8.302499 0.019708 -0.012784 0.004261
0.232750 1.587608 0.777612 -0.090921 8.235505 0.021839 -0.011718 0.006392
0.235947 1.593176 0.746507 -0.098099 8.283358 0.021839 -0.013316 0.007990
0.241063 1.598186 0.775219 -0.043068 8.190045 0.021306 -0.014382 0.005326
0.250187 1.603343 0.904422 -0.043068 8.297714 0.020241 -0.014382 0.010653
0.251566 1.608399 0.811109 -0.136381 8.280966 0.023437 -0.011718 0.008522
0.256159 1.613500 0.741722 -0.110062 8.209186 0.020773 -0.012784 0.007457
0.261994 1.618710 0.830250 -0.088528 8.276180 0.023437 -0.013849 0.005326
0.266458 1.623696 0.870925 -0.105277 8.254646 0.023437 -0.013316 0.006924
0.271352 1.628695 0.799145 -0.105277 8.249861 0.020773 -0.009588 0.004794
0.276591 1.633857 0.691476 -0.165093 8.252254 0.023969 -0.012251 0.006924
0.281620 1.638850 0.789575 -0.057424 8.333604 0.019708 -0.012784 0.007990
0.290471 1.644885 0.892459 -0.093313 8.276180 0.019175 -0.012784 0.009055
0.292028 1.649171 0.811109 -0.095706 8.245076 0.021306 -0.013849 0.005859
0.298170 1.654206 0.741722 -0.098099 8.151762 0.019175 -0.010653 0.006392
0.302698 1.659201 0.780004 -0.102884 8.312070 0.020773 -0.013849 0.003729
0.308014 1.664366 0.870925 -0.014356 8.211579 0.020241 -0.012784 0.006392
0.312509 1.669382 0.820679 -0.083743 8.154155 0.019708 -0.012251 0.009055
0.318402 1.674743 0.758470 -0.150737 8.316855 0.019175 -0.011186 0.004794
0.322546 1.679545 0.844606 -0.071780 8.314463 0.022371 -0.012251 0.003729
0.329733 1.684725 0.832643 -0.102884 8.257039 0.020773 -0.012251 0.007990
0.332773 1.689711 0.803931 -0.095706 8.209186 0.022371 -0.012784 0.006392
0.338656 1.694960 0.801538 -0.124418 8.252254 0.022904 -0.012251 0.007457
0.342974 1.700012 0.808716 -0.031104 8.242683 0.020773 -0.014914 0.005326
0.350097 1.705071 0.875710 -0.090921 8.314463 0.019708 -0.013316 0.009588
