t x_meas y_meas z_meas q0_meas q1_meas q2_meas q3_meas ax_meas ay_meas az_meas wx_meas wy_meas wz_meas x y z q0 q1 q2 q3 vx vy vz ax ay az wx wy wz Fd u1 u2 u3 u4 M1 M2 M3 qdes0 qdes1 qdes2 qdes3
7.184538 0.879000 0.007400 0.439300 0.922450 -0.078580 -0.063890 -0.372590 1.902158 -0.165093 9.692630 0.398421 0.201341 0.629058 0.881692 0.006749 0.436129 0.914433 -0.084248 -0.076631 -0.388385 -0.024997 0.007215 0.021777 0.000000 0.000000 0.000000 0.264498 0.215214 0.577739 9.500815 2.638228 2.046827 2.777231 2.038529 0.002489 0.041701 0.066505 0.999997 0.000774 0.002466 0.000002
7.195212 nan nan nan nan nan nan nan 2.476394 -0.449818 9.829011 0.447425 0.113987 0.654092 0.881426 0.006826 0.436362 0.915831 -0.082746 -0.075869 -0.385551 -0.028173 0.008947 0.025644 0.000000 0.000000 0.000000 0.316798 0.193886 0.595433 9.499239 2.599174 2.053617 2.753314 2.093134 -0.011855 0.046242 0.060287 0.999996 0.000952 0.002795 0.000003
7.205809 nan nan nan nan nan nan nan 2.380688 -1.560009 10.769323 0.530518 0.215723 0.612013 0.881127 0.006921 0.436634 0.917258 -0.081052 -0.075314 -0.382617 -0.030050 0.009226 0.028843 0.000000 0.000000 0.000000 0.377622 0.196230 0.601323 9.499633 2.584963 2.042437 2.734433 2.137800 -0.028609 0.044841 0.056958 0.999995 0.000982 0.002991 0.000003
7.216590 0.876800 0.007400 0.441400 0.925510 -0.077220 -0.062340 -0.365480 1.631788 0.167486 11.872335 0.486841 0.181100 0.663147 0.880368 0.006948 0.437408 0.918148 -0.082095 -0.071254 -0.381035 -0.028846 0.010843 0.036158 0.000000 0.000000 0.000000 0.414462 0.197229 0.611814 9.493533 2.572112 2.047336 2.707657 2.166428 -0.035728 0.040664 0.053300 0.999995 0.001150 0.002876 0.000003
7.227412 nan nan nan nan nan nan nan 0.370861 0.131596 12.350865 0.433576 0.127303 0.616807 0.880056 0.007065 0.437800 0.919662 -0.079865 -0.070856 -0.377920 -0.029513 0.014450 0.046313 0.000000 0.000000 0.000000 0.426480 0.189227 0.604100 9.480243 2.566326 2.036338 2.706293 2.171287 -0.040485 0.041990 0.053250 0.999994 0.001524 0.002952 0.000004
7.238152 nan nan nan nan nan nan nan 2.593634 -2.497928 9.876864 0.477786 0.209331 0.645037 0.879739 0.007221 0.438297 0.921135 -0.077604 -0.070527 -0.374852 -0.031816 0.020531 0.058311 0.000000 0.000000 0.000000 0.441962 0.192213 0.608524 9.461862 2.548286 2.037728 2.684701 2.191146 -0.046025 0.040924 0.050206 0.999993 0.002157 0.003199 0.000007
7.248807 0.874200 0.009200 0.444800 0.930940 -0.066310 -0.059890 -0.354070 0.507242 2.519462 12.539885 0.473524 0.235431 0.634384 0.878482 0.007494 0.439514 0.922343 -0.078425 -0.065942 -0.372539 -0.033562 0.019907 0.064084 0.000000 0.000000 0.000000 0.448203 0.214697 0.605601 9.460705 2.561053 2.041163 2.664091 2.194398 -0.045971 0.030912 0.049479 0.999992 0.002096 0.003390 0.000007
7.259522 nan nan nan nan nan nan nan 1.260927 -3.507627 5.639479 0.537975 0.217321 0.632254 0.878122 0.007707 0.440201 0.923807 -0.075995 -0.065520 -0.369475 -0.034476 0.027539 0.074996 0.000000 0.000000 0.000000 0.450169 0.215181 0.609441 9.444669 2.543549 2.048146 2.644606 2.208368 -0.048066 0.030317 0.046582 0.999990 0.002892 0.003494 0.000010
7.270181 nan nan nan nan nan nan nan 0.409143 1.045589 9.302628 0.522528 0.247149 0.683388 0.877755 0.008001 0.441000 0.925257 -0.073567 -0.065100 -0.366401 -0.039711 0.027018 0.084235 0.000000 0.000000 0.000000 0.456787 0.227732 0.613746 9.434195 2.532194 2.053354 2.621006 2.227642 -0.052287 0.026644 0.043610 0.999988 0.002845 0.004046 0.000012
7.280929 0.872400 0.009400 0.449100 0.934170 -0.059850 -0.055370 -0.347390 1.184362 1.928477 7.570348 0.498559 0.187492 0.676464 0.876619 0.008029 0.442225 0.926383 -0.073453 -0.062253 -0.364066 -0.043447 0.037707 0.089670 0.000000 0.000000 0.000000 0.469141 0.239801 0.625720 9.426866 2.516504 2.070705 2.588523 2.251135 -0.054129 0.021606 0.039159 0.999982 0.003959 0.004444 0.000018
7.291605 nan nan nan nan nan nan nan 1.705960 -1.062337 14.387011 0.598164 0.232235 0.594436 0.876155 0.008432 0.443182 0.927854 -0.070874 -0.061733 -0.360906 -0.045235 0.041201 0.088665 0.000000 0.000000 0.000000 0.492043 0.246214 0.618901 9.435960 2.521396 2.061178 2.585557 2.267829 -0.061995 0.019248 0.038897 0.999980 0.004324 0.004631 0.000020
7.302292 nan nan nan nan nan nan nan 1.868661 1.296817 12.377184 0.495896 0.428249 0.662082 0.875672 0.008872 0.444129 0.929306 -0.068163 -0.061226 -0.357765 -0.044581 0.048849 0.097664 0.000000 0.000000 0.000000 0.498352 0.281552 0.624518 9.424414 2.517594 2.069597 2.549843 2.287379 -0.065335 0.009675 0.035523 0.999976 0.005130 0.004575 0.000023
7.312983 0.870700 0.008300 0.452900 0.937270 -0.058660 -0.057660 -0.338770 1.086264 -0.703439 12.645161 0.315861 0.192819 0.609350 0.874677 0.008445 0.445467 0.930246 -0.067855 -0.059909 -0.355595 -0.043564 0.052747 0.109355 0.000000 0.000000 0.000000 0.458998 0.273207 0.616460 9.404290 2.514651 2.078295 2.549473 2.261872 -0.055073 0.010447 0.036198 0.999975 0.005547 0.004485 0.000025
7.323687 nan nan nan nan nan nan nan 2.564922 -1.753813 10.178338 0.307338 0.334503 0.616274 0.874211 0.009010 0.446638 0.931665 -0.065247 -0.059198 -0.352475 -0.046899 0.054536 0.126054 0.000000 0.000000 0.000000 0.416340 0.284665 0.600113 9.379042 2.525416 2.074952 2.547817 2.230858 -0.046772 0.006720 0.038371 0.999972 0.005757 0.004852 0.000028
7.334381 nan nan nan nan nan nan nan 3.009955 0.727366 8.130229 0.171513 0.332905 0.659951 0.873710 0.009593 0.447986 0.933023 -0.062826 -0.058355 -0.349450 -0.045854 0.054284 0.132583 0.000000 0.000000 0.000000 0.353214 0.304527 0.590829 9.374583 2.537310 2.094341 2.538250 2.204681 -0.033102 0.000282 0.038827 0.999972 0.005741 0.004752 0.000027
7.345058 0.868500 0.009000 0.458600 0.942390 -0.048190 -0.055130 -0.326400 1.524119 -1.959581 10.867421 0.136358 0.173111 0.645570 0.872590 0.008811 0.449364 0.934213 -0.061918 -0.058008 -0.346478 -0.043712 0.045875 0.134863 0.000000 0.000000 0.000000 0.263791 0.284942 0.591091 9.375978 2.522302 2.138906 2.535406 2.179364 -0.012138 0.003931 0.036972 0.999978 0.004858 0.004536 0.000022
7.355740 nan nan nan nan nan nan nan -0.693869 -3.490878 10.451100 0.264726 0.362201 0.605621 0.872123 0.009301 0.450805 0.935476 -0.060257 -0.056879 -0.343538 -0.046088 0.038535 0.138949 0.000000 0.000000 0.000000 0.213261 0.268000 0.575875 9.376445 2.528356 2.146284 2.549998 2.151807 -0.001657 0.006493 0.039013 0.999980 0.004094 0.004791 0.000020
7.366577 0.867000 0.009500 0.460900 0.945220 -0.044780 -0.054040 -0.318810 -0.234480 1.296817 13.544798 0.145413 0.412270 0.685519 0.870666 0.009144 0.453165 0.937979 -0.055894 -0.056356 -0.337483 -0.057763 0.028622 0.154433 0.000000 0.000000 0.000000 0.177539 0.303929 0.586013 9.358077 2.509539 2.177908 2.498378 2.172252 0.001697 -0.003348 0.032888 0.999977 0.003063 0.006044 0.000019
