DfilX DfilY DfilZ DfilQ1 DfilQ2 DfilQ3 DfilQ4 DfildX DfildY DfildZ DfildQ1 DfildQ2 DfildQ3 DfildQ4 w1 w2 w3 fF fL fB fR Eul0 Eul1 Eul2 Fpwm Lpwm Bpwm Rpwm My
-0.256984 0.066246 0.893882 0.989161 -0.019487 0.145434 0.005365 -0.102884 0.035785 0.087267 0.072665 0.266500 -0.460237 -0.337488 0.623282 -0.921339 -0.608860 0.000000 0.000000 17.987995 0.000000 0.005164 0.292059 -0.038636 1000000.000000 1000000.000000 2007327.000000 1000000.000000 6.292797
-0.257643 0.066490 0.894576 0.989820 -0.018901 0.140976 0.004996 -0.147483 0.055218 0.155448 0.142223 0.130196 -0.996127 -0.081627 0.276179 -2.010289 -0.163958 0.000000 0.000000 25.000000 0.000000 0.004750 0.283035 -0.037509 1000000.000000 1000000.000000 2400000.000000 1000000.000000 17.272533
-0.258389 0.066397 0.895132 0.990550 -0.019041 0.135733 0.005024 -0.166271 -0.019984 0.124281 0.158116 -0.031903 -1.169923 0.005846 -0.070522 -2.360559 -0.043221 0.000000 0.000000 25.000000 0.000000 0.004966 0.272449 -0.037760 1000000.000000 1000000.000000 2400000.000000 1000000.000000 20.881100
-0.259243 0.066353 0.895724 0.991458 -0.018312 0.129015 0.005559 -0.190397 -0.009640 0.132131 0.199230 0.160517 -1.496966 0.119480 0.278117 -3.025925 0.221296 0.000000 0.000000 25.000000 0.000000 0.006515 0.258912 -0.036088 1000000.000000 1000000.000000 2400000.000000 1000000.000000 27.670130
-0.260218 0.066231 0.896250 0.992378 -0.016998 0.121849 0.007038 -0.215568 -0.027501 0.117483 0.204405 0.282304 -1.588312 0.330925 0.464252 -3.217449 0.668729 0.000000 0.000000 25.000000 0.000000 0.010127 0.244509 -0.033009 1000000.000000 1000000.000000 2400000.000000 1000000.000000 29.729405
-0.261085 0.066000 0.896884 0.993175 -0.016486 0.114993 0.010368 -0.191959 -0.051605 0.142966 0.182039 0.104643 -1.525214 0.750535 0.009619 -3.098393 1.460828 0.000000 0.000000 25.000000 0.000000 0.017262 0.230803 -0.031195 1000000.000000 1000000.000000 2400000.000000 1000000.000000 28.675906
-0.261689 0.065908 0.897117 0.993795 -0.015132 0.109561 0.011796 -0.133336 -0.021316 0.053157 0.139185 0.293606 -1.203652 0.327768 0.487564 -2.439711 0.676092 0.000000 0.000000 25.000000 0.000000 0.020627 0.219887 -0.028174 1000000.000000 1000000.000000 2400000.000000 1000000.000000 22.198235
-0.262337 0.066100 0.897444 0.994270 -0.012853 0.105586 0.010627 -0.141872 0.041849 0.073371 0.108123 0.497985 -0.881074 -0.239955 1.024989 -1.779301 -0.396945 0.000000 0.000000 25.000000 0.000000 0.018840 0.211815 -0.023849 1000000.000000 1000000.000000 2400000.000000 1000000.000000 15.674859
-0.263069 0.066490 0.897991 0.994635 -0.011378 0.102492 0.008138 -0.161638 0.087126 0.123949 0.080801 0.319594 -0.690450 -0.537454 0.736530 -1.383028 -1.020657 0.000000 0.000000 25.000000 0.000000 0.014155 0.205513 -0.021418 1000000.000000 1000000.000000 2400000.000000 1000000.000000 11.775141
-0.263816 0.066757 0.898646 0.994891 -0.010549 0.100277 0.005012 -0.165933 0.060314 0.147956 0.055716 0.182444 -0.502040 -0.678200 0.495182 -0.997643 -1.324031 0.000000 0.000000 20.777635 0.000000 0.008019 0.200985 -0.020398 1000000.000000 1000000.000000 2163547.000000 1000000.000000 7.966581
