t ax ay az w1 w2 w3
1.880669 1.069515 0.026319 7.173168 -58.412427 -44.984283 14.679403
1.888305 0.586200 -3.313822 6.189789 -44.465468 17.090365 10.650960
1.896520 2.426148 -0.277548 6.886050 -30.121769 -13.855403 20.264290
1.904165 -0.772826 -1.196326 8.166118 -21.301920 3.692740 19.104587
1.912366 1.344670 -2.447682 9.486862 -30.213324 -11.444441 23.529771
1.920006 -1.012091 -0.717795 8.888699 -30.579546 1.495407 17.212439
1.927636 -0.789575 0.722581 8.300107 -32.593768 -5.157628 9.277627
1.935830 -1.555223 0.165093 7.419611 -26.612140 1.220740 -4.394665
1.943443 -0.772826 -0.873318 7.151634 -18.311106 -2.014222 -10.132145
1.951961 -0.890066 -1.856697 6.632429 -4.669332 1.190222 -13.275552
1.960265 0.447426 -3.033882 7.098996 5.188147 0.671407 -13.672292
1.968438 0.715403 -2.416578 7.864644 10.193182 1.312296 -14.831996
1.976636 0.846999 -1.375774 8.857595 10.040590 0.915555 -11.566515
1.984264 0.952275 -0.959453 9.233241 6.225776 -0.824000 -5.249184
1.991854 0.906815 -1.040803 8.716428 3.448592 -1.281777 -1.464888
1.999997 0.229695 -1.069515 8.644649 1.525925 1.861629 -0.091556
2.007656 -0.387609 -1.117368 8.520231 0.122074 -1.922666 0.000000
2.015245 -0.466567 -1.126939 8.785815 -0.762963 2.227851 -3.845332
2.023402 -0.112455 -1.665285 8.611151 -2.502518 -0.762963 -6.500443
2.031424 0.124418 -1.650929 8.446059 -3.692740 0.946074 -8.728294
2.039868 0.464174 -0.849391 9.041829 -6.530961 2.990814 -10.284738
2.048227 0.392395 -1.533689 8.855202 -10.467849 -0.091556 -7.782220
2.055956 0.634053 -1.930869 8.869558 -13.824885 1.709037 -5.310221
2.064064 0.390002 -1.433198 9.297842 -18.890957 2.349925 -4.760887
2.072416 0.803931 -1.708353 9.340910 -24.109622 2.929777 -0.946074
2.080756 1.009699 -2.210810 8.651827 -26.154363 8.056887 3.570666
2.088734 0.794360 -2.495535 8.515445 -25.757622 12.756737 7.995849
2.096637 0.473745 -2.842470 8.572869 -25.055696 17.273476 9.949034
2.105027 0.306259 -3.285110 8.611151 -21.485031 18.005921 9.887997
2.113197 -0.066994 -3.505234 8.869558 -14.984588 14.648885 8.087405
2.122244 -0.533561 -3.646400 9.182995 -7.629627 6.775109 4.089480
2.131129 -0.684298 -3.445418 9.297842 0.122074 -4.913480 0.305185
2.140006 -0.550310 -3.306644 9.381585 6.591998 -17.548143 -4.333628
2.148752 -0.064602 -3.057808 9.618458 10.498367 -28.015992 -10.986663
2.157701 0.325401 -3.160692 9.836189 18.036439 -34.455397 -15.717032
2.166643 0.198590 -3.110446 9.793121 30.732139 -39.490951 -19.196142
2.175087 -0.492886 -2.837684 9.821833 37.751396 -47.059542 -23.987548
2.183789 -0.878103 -2.567315 9.778765 41.230506 -56.581317 -27.863399
2.191447 -0.701047 -2.153386 9.596924 43.153172 -63.509018 -28.290658
2.200016 -0.590985 -1.701175 9.541893 41.962951 -66.072573 -25.330363
2.208377 -0.279940 -1.423627 9.285879 38.209174 -66.133610 -20.447401
2.216128 -0.100491 -1.351848 8.862380 30.610065 -64.790796 -15.564440
2.224368 0.435463 -1.531297 8.635078 20.874660 -61.830500 -11.566515
2.232532 1.222645 -1.593506 8.649434 12.390515 -50.996429 -7.568590
2.241516 1.665285 -1.650929 8.570476 8.484146 -35.248878 -3.234962
2.249790 1.777740 -1.849519 8.642256 7.690664 -19.348735 0.366222
2.257989 1.653322 -1.902158 8.733177 8.545183 -4.425184 2.136296
2.265589 1.497800 -1.885409 8.917411 9.674368 7.293924 3.479110
2.273754 1.385345 -2.072036 9.163854 11.566515 17.914365 3.509629
2.281375 1.234608 -2.119889 9.410297 14.770959 27.802362 3.601184
2.289002 0.794360 -2.045717 9.517966 19.348735 36.042360 4.089480
2.296631 0.406751 -1.918906 9.434223 23.133030 37.598804 6.195257
2.304840 0.133988 -2.773083 9.814655 31.769768 37.476730 10.467849
2.313335 -0.038282 -2.959709 9.907968 43.336283 35.584582 13.336589
2.321691 -0.066994 -2.026576 9.860115 53.804132 31.617176 16.083254
2.329411 -0.086135 -1.775347 9.896005 60.975982 25.452437 18.127995
2.337641 -0.296689 -1.234608 9.824226 66.316721 19.806513 18.555254
